country,date,new_cases_per_million,total_cases_per_million,new_cases_per_million_7_day_avg_right
World,1/4/2020,0.000375523,0.000375523,
World,1/5/2020,0,0.000250349,
World,1/6/2020,0.000375523,0.000625872,
World,1/7/2020,0,0.000625872,
World,1/8/2020,0.000125174,0.000751046,
World,1/9/2020,0,0.000751046,0.000146037
World,1/10/2020,0,0.000751046,0.000125174
World,1/11/2020,0,0.000751046,7.15E-05
World,1/12/2020,0.005132148,0.005883194,0.000804692
World,1/13/2020,0.000125174,0.006008368,0.000768928
World,1/14/2020,0.000625872,0.00663424,0.000858338
World,1/15/2020,0,0.00663424,0.000840456
World,1/16/2020,0,0.00663424,0.000840456
World,1/17/2020,0.000500697,0.006759414,0.000911984
World,1/18/2020,0.000500697,0.007260111,0.000983513
World,1/19/2020,0.009888772,0.017148883,0.00166303
World,1/20/2020,0.009763598,0.026912481,0.003039948
World,1/21/2020,0.011641213,0.038553694,0.004613568
World,1/22/2020,0.018525801,0.057079495,0.007260111
World,1/23/2020,0.016648186,0.073352158,0.009638423
World,1/24/2020,0.033922244,0.107274402,0.01441293
World,1/25/2020,0.059207458,0.16648186,0.02279961
World,1/26/2020,0.088247903,0.25435424,0.033993772
World,1/27/2020,0.098887721,0.353241962,0.046725789
World,1/28/2020,0.222685135,0.575426399,0.076874921
World,1/29/2020,0.184882487,0.760308885,0.100640162
World,1/30/2020,0.220056474,0.980365359,0.129698489
World,1/31/2020,0.251725579,1.232090938,0.160813251
World,2/1/2020,0.264493361,1.496083602,0.190139808
World,2/2/2020,0.328081921,1.82379,0.224401811
World,2/3/2020,0.354994402,2.178784402,0.26098848
World,2/4/2020,0.407192098,2.5859765,0.287346617
World,2/5/2020,0.492686166,3.078161969,0.331318572
World,2/6/2020,0.465147813,3.543309782,0.36633162
World,2/7/2020,0.395425711,3.938234796,0.38686021
World,2/8/2020,0.425217202,4.363451998,0.409820759
World,2/9/2020,0.337845519,4.700921993,0.411215559
World,2/10/2020,0.374646772,5.075568766,0.41402304
World,2/11/2020,0.310682689,5.386251455,0.400235982
World,2/12/2020,0.254604589,5.640856043,0.366224328
World,2/13/2020,1.89864425,7.539500293,0.571009533
World,2/14/2020,0.509209178,8.048709471,0.587264314
World,2/15/2020,0.333339243,8.381673191,0.574138891
World,2/16/2020,0.255856332,8.637529523,0.56242615
World,2/17/2020,0.25810947,8.89526347,0.545777964
World,2/18/2020,0.238832623,9.134096093,0.535513669
World,2/19/2020,0.225188621,9.359284714,0.531311388
World,2/20/2020,0.053073916,9.412358631,0.267658483
World,2/21/2020,0.124423285,9.536781916,0.21268907
World,2/22/2020,0.133686185,9.670468101,0.184167205
World,2/23/2020,0.123922587,9.794390688,0.165319527
World,2/24/2020,0.064589955,9.858980643,0.137673882
World,2/25/2020,0.099638767,9.958369062,0.117789045
World,2/26/2020,0.10577231,10.06414137,0.100729572
World,2/27/2020,0.136815544,10.20095691,0.112692662
World,2/28/2020,0.150334371,10.35091576,0.116394246
World,2/29/2020,0.227316585,10.57823235,0.129770017
World,3/1/2020,0.251099708,10.82933206,0.147938177
World,3/2/2020,0.242963376,11.07166956,0.173420094
World,3/3/2020,0.225313795,11.29698336,0.19137367
World,3/4/2020,0.277261143,11.5742445,0.215872075
World,3/5/2020,0.270501729,11.84474623,0.234970101
World,3/6/2020,0.312184781,12.15693101,0.258091588
World,3/7/2020,0.406816575,12.56374758,0.283734444
World,3/8/2020,0.795357698,13.35860458,0.361485585
World,3/9/2020,0.40957041,13.7676743,0.38528659
World,3/10/2020,0.483047743,14.25059687,0.422105726
World,3/11/2020,0.491684771,14.74190611,0.452737672
World,3/12/2020,0.752172554,15.49407867,0.52154779
World,3/13/2020,0.844676384,16.33875505,0.597618019
World,3/14/2020,0.916276102,17.25453046,0.670397952
World,3/15/2020,3.668859636,20.92339009,1.080898229
World,3/16/2020,1.072118143,21.99550824,1.175547905
World,3/17/2020,1.29630537,23.2918136,1.291727566
World,3/18/2020,1.443385209,24.73519881,1.427684771
World,3/19/2020,1.774846837,26.51004565,1.573781097
World,3/20/2020,2.132970597,28.64289107,1.757823128
World,3/21/2020,2.565948607,31.20883968,1.993490628
World,3/22/2020,11.15941677,42.36825645,3.063570218
World,3/23/2020,2.811790993,45.17967192,3.312094911
World,3/24/2020,3.323253309,48.50292522,3.601658902
World,3/25/2020,3.757483062,52.26040829,3.93224431
World,3/26/2020,3.917706206,56.17811449,4.238367077
World,3/27/2020,4.758126663,60.93624115,4.613389372
World,3/28/2020,5.591161834,66.52740299,5.04556269
World,3/29/2020,19.83700207,86.36427989,6.285217734
World,3/30/2020,5.409033183,91.77331307,6.656252333
World,3/31/2020,6.137422614,97.8940875,7.058276519
World,4/1/2020,5.496905563,103.3909931,7.306765448
World,4/2/2020,6.514572873,109.9055659,7.677746401
World,4/3/2020,7.376147791,117.2817137,8.051749419
World,4/4/2020,7.610724487,124.8924382,8.340258369
World,4/5/2020,19.83587551,144.7283137,8.340097431
World,4/6/2020,7.484799111,152.2131128,8.636635421
World,4/7/2020,6.845033106,159.0581459,8.737722634
World,4/8/2020,7.563033067,166.621179,9.032883706
World,4/9/2020,7.962464357,174.5836434,9.239725346
World,4/10/2020,8.719769058,183.3034124,9.431671242
World,4/11/2020,9.103553557,192.406966,9.644932537
World,4/12/2020,17.95763467,210.3646006,9.376612418
World,4/13/2020,8.051338132,218.4159388,9.457546564
World,4/14/2020,7.219429529,225.6353683,9.511031767
World,4/15/2020,7.156592015,232.7883303,9.45296876
World,4/16/2020,7.824897767,240.613228,9.43331639
World,4/17/2020,8.395317193,249.0085452,9.386966124
World,4/18/2020,9.2637767,258.2723219,9.409855144
World,4/19/2020,15.55641548,273.8287374,9.066823832
World,4/20/2020,8.31170074,282.1404382,9.10401849
World,4/21/2020,8.092019789,290.2324579,9.228674241
World,4/22/2020,8.17325793,298.4057159,9.373912229
World,4/23/2020,8.377041741,306.7827576,9.45278994
World,4/24/2020,9.077517296,315.8602749,9.550247097
World,4/25/2020,11.1626713,327.0229462,9.821517754
World,4/26/2020,14.43347656,341.4564228,9.661097908
World,4/27/2020,9.517004371,350.9734271,9.833284141
World,4/28/2020,8.167875434,359.1413026,9.844120662
World,4/29/2020,8.151352422,367.292655,9.840991303
World,4/30/2020,8.847446876,376.1401019,9.908192037
World,5/1/2020,9.512498095,385.6526,9.970332151
World,5/2/2020,10.488232,396.140832,9.873983681
World,5/3/2020,13.61546231,409.7562943,9.757124502
World,5/4/2020,9.71465464,419.4709489,9.785360254
World,5/5/2020,9.563944745,429.0348937,9.984798728
World,5/6/2020,9.090535426,438.1254291,10.11896773
World,5/7/2020,9.709522492,447.5268976,10.24212139
World,5/8/2020,10.62492237,458.1518199,10.40103914
World,5/9/2020,11.14051544,469.1070774,10.49422249
World,5/10/2020,13.44222104,482.5492984,10.46947374
World,5/11/2020,10.73232195,493.2816203,10.61485478
World,5/12/2020,8.807766613,502.0831282,10.50682933
World,5/13/2020,9.520509253,511.6036375,10.56825417
World,5/14/2020,10.38308557,521.9842196,10.66447746
World,5/15/2020,10.50262705,532.4868466,10.6470067
World,5/16/2020,12.37485952,544.8617061,10.82334157
World,5/17/2020,14.1177869,558.979493,10.91985098
World,5/18/2020,11.73434247,570.7138355,11.06299677
World,5/19/2020,9.595113154,580.3089487,11.17547484
World,5/20/2020,11.48286724,591.7918159,11.4558117
World,5/21/2020,12.55623712,604.348053,11.76626192
World,5/22/2020,13.19838144,617.5464345,12.15136969
World,5/23/2020,13.00824163,630.5546761,12.24185285
World,5/24/2020,15.63214595,646.1868221,12.45818986
World,5/25/2020,11.95227098,658.139093,12.4893225
World,5/26/2020,11.40751229,669.5466053,12.74823666
World,5/27/2020,10.9105702,680.4571755,12.66647994
World,5/28/2020,12.08232711,692.5395026,12.59877851
World,5/29/2020,13.2161562,705.7556588,12.60131776
World,5/30/2020,14.76431232,720.5199711,12.85218501
World,5/31/2020,16.9193136,737.4392847,13.0360661
World,6/1/2020,15.66156192,753.1008467,13.5659648
World,6/2/2020,13.42244349,766.5232901,13.85381212
World,6/3/2020,12.12350946,778.6467996,14.02708916
World,6/4/2020,15.22933496,793.8761346,14.47666171
World,6/5/2020,15.54139456,809.4175291,14.80883862
World,6/6/2020,15.61074114,825.0281451,14.92975702
World,6/7/2020,18.14114024,843.1692853,15.10430368
World,6/8/2020,15.45039283,858.6196782,15.07413667
World,6/9/2020,13.5048082,872.1244864,15.08590306
World,6/10/2020,13.34621232,885.4706987,15.26057489
World,6/11/2020,16.16751657,901.6382153,15.39460084
World,6/12/2020,17.31411344,918.9523287,15.64784639
World,6/13/2020,17.44329335,936.395622,15.90963956
World,6/14/2020,19.762273,956.157895,16.14122996
World,6/15/2020,16.32736419,972.4852592,16.26651158
World,6/16/2020,14.62987509,987.1151343,16.42723542
World,6/17/2020,15.14221362,1002.257348,16.68380704
World,6/18/2020,22.50697055,1024.764318,17.58944332
World,6/19/2020,18.12912351,1042.893442,17.70587333
World,6/20/2020,17.58048441,1060.473926,17.72547205
World,6/21/2020,24.79027552,1085.264202,18.44375813
World,6/22/2020,19.09208963,1104.356292,18.8387189
World,6/23/2020,16.05110444,1120.407396,19.04175167
World,6/24/2020,17.33301476,1137.740411,19.35472326
World,6/25/2020,21.32232068,1159.062731,19.18548756
World,6/26/2020,22.1190553,1181.181787,19.75547782
World,6/27/2020,22.86033769,1204.041999,20.50974257
World,6/28/2020,26.18872314,1230.230722,20.70952081
World,6/29/2020,21.98975022,1252.220473,21.12347232
World,6/30/2020,19.51292573,1271.733398,21.61801822
World,7/1/2020,20.90298668,1292.636385,22.12801421
World,7/2/2020,22.68647054,1315.322856,22.32289276
World,7/3/2020,26.07544037,1341.398296,22.88809062
World,7/4/2020,26.40389782,1367.802194,23.3943135
World,7/5/2020,28.74102775,1396.543222,23.75892844
World,7/6/2020,23.59198165,1420.135203,23.98781865
World,7/7/2020,20.58316626,1440.718369,24.14071015
World,7/8/2020,21.6796934,1462.398063,24.25166826
World,7/9/2020,26.41328589,1488.811349,24.78407045
World,7/10/2020,27.79220632,1516.603555,25.02932273
